Row_ID,title,model,battery,price-range,0 - 100,Top Speed,Range*,Efficiency*,Fastcharge*,Germany_price_before_incentives,Netherlands_price_before_incentives,UK_price_after_incentives,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats
309,Porsche,Taycan 4 Cross Turismo,97,227,4.7 sec,220 km/h,505 km,192 Wh/km,1110 km/h,"€113,100","€119,400","£96,800",All Wheel Drive,,,5
310,Audi,SQ8 e-tron Sportback,106,218,4.5 sec,210 km/h,480 km,221 Wh/km,610 km/h,"€98,050","€101,535","£100,000",All Wheel Drive,Towbar possible,1800,5
311,Mercedes-benz,EQE SUV AMG 53 4MATIC+,90.6,353,3.5 sec,240 km/h,410 km,221 Wh/km,610 km/h,"€139,438","€149,788",N/A,All Wheel Drive,Towbar possible,1800,5
312,Xpeng,P7 AWD Performance,82.7,130,4.1 sec,200 km/h,460 km,180 Wh/km,740 km/h,"€58,600","€61,188",N/A,All Wheel Drive,,,5
313,Skoda,Enyaq RS,77,140,5.5 sec,180 km/h,435 km,177 Wh/km,650 km/h,"€61,050",N/A,"£53,120",All Wheel Drive,Towbar possible,1200,5
314,Audi,Q8 e-tron Sportback 50 quattro,89,173,6.0 sec,200 km/h,445 km,200 Wh/km,690 km/h,"€76,650","€73,785","£70,300",All Wheel Drive,Towbar possible,1800,5
315,Vinfast,VF 8 Eco Extended Range,87.7,126,5.9 sec,200 km/h,425 km,206 Wh/km,550 km/h,"€52,990","€53,900",N/A,All Wheel Drive,,,5
316,Byd,DOLPHIN 44.9 kWh Boost,44.9,125,8.0 sec,160 km/h,255 km,176 Wh/km,260 km/h,"* €30,000","€32,990","* £28,500",Front Wheel Drive,,,5
317,Gwm,ORA 3 GT,59.3,152,8.2 sec,160 km/h,325 km,182 Wh/km,280 km/h,"€49,490",N/A,N/A,Front Wheel Drive,,,5
318,Mercedes-benz,EQS SUV 500 4MATIC,118,257,5.3 sec,210 km/h,530 km,223 Wh/km,670 km/h,"€124,545","€148,173",N/A,All Wheel Drive,Towbar possible,1800,7
319,Mercedes-benz,eVito Tourer Long 90 kWh,90,245,12.1 sec,160 km/h,320 km,281 Wh/km,320 km/h,"€72,043","€84,773",N/A,Front Wheel Drive,,,8
320,Mercedes-benz,EQE SUV AMG 43 4MATIC,90.6,308,4.3 sec,210 km/h,415 km,218 Wh/km,620 km/h,"€124,920","€130,791",N/A,All Wheel Drive,Towbar possible,1800,5
321,Porsche,Taycan 4S Cross Turismo,97,247,3.8 sec,240 km/h,505 km,192 Wh/km,1110 km/h,"€126,400","€132,600","£100,400",All Wheel Drive,,,5
322,Porsche,Taycan Turbo,97,329,2.7 sec,260 km/h,520 km,187 Wh/km,1140 km/h,"€175,600","€183,000","£134,100",All Wheel Drive,,,5
323,Genesis,GV60 Sport,74,171,5.5 sec,200 km/h,380 km,195 Wh/km,990 km/h,"€63,200",N/A,"£58,365",All Wheel Drive,Towbar possible,1600,5
324,Skoda,Enyaq Coupe 60,58,134,8.8 sec,160 km/h,355 km,163 Wh/km,480 km/h,"€46,850","€47,990",N/A,Rear Wheel Drive,Towbar possible,1000,5
325,Kia,e-Soul 39.2 kWh,39.2,164,9.9 sec,157 km/h,230 km,170 Wh/km,200 km/h,N/A,N/A,"£32,875",Front Wheel Drive,,,5
326,Aiways,U6,60,138,7.0 sec,160 km/h,350 km,171 Wh/km,430 km/h,"€47,588","€48,975",N/A,Front Wheel Drive,,,5
327,Elaris,BEO 86 kWh,81,136,8.0 sec,150 km/h,390 km,208 Wh/km,290 km/h,"€53,090",N/A,N/A,Front Wheel Drive,,,5
328,Peugeot,e-5008 73 kWh Dual Motor,73,154,6.0 sec,170 km/h,365 km,200 Wh/km,420 km/h,"* €55,000","* €55,000","* £51,000",All Wheel Drive,Towbar possible,,7
329,Porsche,Taycan Turbo S Cross Turismo,97,434,2.5 sec,250 km/h,475 km,204 Wh/km,1050 km/h,"€211,300","€220,400","£162,500",All Wheel Drive,,,5
330,Nio,ET5 Touring 75 kWh,70.5,160,4.0 sec,200 km/h,385 km,183 Wh/km,570 km/h,"€59,500","€63,900",N/A,All Wheel Drive,Towbar possible,1400,5
331,Volkswagen,ID. Buzz LWB Pro,77,210,7.9 sec,160 km/h,335 km,230 Wh/km,460 km/h,"* €70,000","* €70,000","* £62,000",Rear Wheel Drive,Towbar possible,,7
332,Porsche,Taycan 4S Sport Turismo,82.3,280,3.7 sec,250 km/h,430 km,191 Wh/km,950 km/h,"€121,800","€127,800","£96,700",All Wheel Drive,,,5
333,Nio,EL7 75 kWh,70.5,257,3.9 sec,200 km/h,340 km,207 Wh/km,510 km/h,"€85,900","€88,900",N/A,All Wheel Drive,Towbar possible,2000,5
334,Porsche,Taycan Sport Turismo,82.3,233,4.8 sec,230 km/h,445 km,185 Wh/km,980 km/h,"€102,400","€108,100","£87,300",Rear Wheel Drive,,,5
335,Porsche,Taycan Plus Sport Turismo,97,212,4.8 sec,230 km/h,515 km,188 Wh/km,1130 km/h,"€108,124","€114,144","£91,754",Rear Wheel Drive,,,5
336,Smart,#1 Pulse,62,142,4.5 sec,180 km/h,325 km,191 Wh/km,500 km/h,"€46,490","€46,055",N/A,All Wheel Drive,Towbar possible,1600,5
337,Vinfast,VF 8 Plus Extended Range,87.7,140,5.5 sec,200 km/h,425 km,206 Wh/km,550 km/h,"€58,890","€59,790",N/A,All Wheel Drive,,,5
338,Porsche,Taycan Turbo S Sport Turismo,97,447,2.4 sec,260 km/h,460 km,211 Wh/km,1010 km/h,"€210,800","€219,900","£162,100",All Wheel Drive,,,5
339,Nio,EL6 75 kWh,70.5,191,4.5 sec,200 km/h,350 km,201 Wh/km,520 km/h,"€65,500","€67,900",N/A,All Wheel Drive,Towbar possible,1200,5
340,Fiat,500e Cabrio 24 kWh,21.3,250,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,"€35,490","€31,990",N/A,Front Wheel Drive,,,4
341,Mercedes-benz,EQV 250 Extra-Long,60,363,12.0 sec,160 km/h,210 km,286 Wh/km,200 km/h,"€76,217",N/A,N/A,Front Wheel Drive,,,7
342,Genesis,GV60 Sport Plus,74,206,4.0 sec,235 km/h,365 km,203 Wh/km,950 km/h,"€73,100",N/A,"£67,505",All Wheel Drive,Towbar possible,1600,5
343,Abarth,500e Convertible,37.8,186,7.0 sec,155 km/h,225 km,168 Wh/km,370 km/h,"€40,990","€41,490","£37,195",Front Wheel Drive,,,4
344,Porsche,Taycan 4S Plus Sport Turismo,97,254,3.7 sec,250 km/h,495 km,196 Wh/km,1090 km/h,"€127,322","€133,631","£100,996",All Wheel Drive,,,5
345,Porsche,Taycan Turbo Sport Turismo,97,366,2.7 sec,260 km/h,470 km,206 Wh/km,1030 km/h,"€176,600","€184,000","£134,800",All Wheel Drive,,,5
346,Fiat,500e 3+1 24 kWh,21.3,230,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,N/A,"€30,990",N/A,Front Wheel Drive,,,4
347,Porsche,Taycan Turbo Cross Turismo,97,348,2.8 sec,250 km/h,495 km,196 Wh/km,1090 km/h,"€177,000","€184,500","£135,200",All Wheel Drive,,,5
348,Mercedes-benz,EQV 250 Long,60,350,12.0 sec,160 km/h,215 km,279 Wh/km,200 km/h,"€75,282",N/A,N/A,Front Wheel Drive,,,7
349,Mercedes-benz,eVito Tourer Long 60 kWh,60,311,12.0 sec,160 km/h,220 km,273 Wh/km,210 km/h,"€68,398",N/A,N/A,Front Wheel Drive,,,8
350,Mercedes-benz,eVito Tourer Extra-Long 60 kWh,60,322,12.0 sec,160 km/h,215 km,279 Wh/km,200 km/h,"€69,309",N/A,N/A,Front Wheel Drive,,,8
351,Kgm,Torres EVX,72,130,8.1 sec,175 km/h,350 km,206 Wh/km,390 km/h,"€43,990","€41,250","£44,495",Front Wheel Drive,Towbar possible,1500,5
352,Mini,Aceman E,38.5,163,7.9 sec,160 km/h,230 km,167 Wh/km,370 km/h,"* €37,000","€38,990","£31,800",Front Wheel Drive,,,5
353,Mini,Aceman SE,49.8,137,7.1 sec,170 km/h,300 km,166 Wh/km,430 km/h,"* €40,000","* €42,000","* £36,000",Front Wheel Drive,,,5
